keyword,before 2015,after 2015
Nephtys cirrosa,1,0
Nephtys hombergii,1,0
Neurocaulon foliosum,0,0
Nitophyllum flabellatum,0,0
Nitophyllum punctatum,0,0
Nitzschia closterium,0,1
Nitzschia closterium f.minutissima,0,1
Nitzschia lecointei,0,0
Nodularia spumigena,2,0
Nonionella basispinata,0,0
Nonionella sp.,0,0
North Atlantic,74,129
North Pacific,34,116
Not applicable,25,64
Notocidaris gaussensis,0,0
Notoclinops segmentatus,0,1
Notoclinops yaldwyni,0,1
Notothenia rossii,0,0
Nucella lapillus,0,3
Nucella ostrina,0,3
Nucula nucleus,1,0
Nucula sulcata,1,0
Nyctiphanes couchii,1,0
Ochrophyta,15,42
Ochrosphaera neapolitana,0,0
Oculina arbuscula,2,3
Oculina patagonica,0,0
Odontaster validus,0,1
Odontella weissflogii,0,1
Oikopleura dioica,0,1
Oithona davisae,0,0
Oithona similis,0,0
Oligochaeta sp.,1,0
Oncorhynchus gorbuscha,0,0
Oncorhynchus mykiss,1,0
Open ocean,12,14
Operculina ammonoides,0,0
Ophiocomina nigra,0,0
Ophiodon elongatus,0,0
Ophiothrix fragilis,1,0
Ophryotrocha japonica,0,1
Ophryotrocha labronica,0,2
Ophryotrocha robusta,0,1
Orbicella faveolata,0,1
Orbulina universa,2,0
Oreochromis mossambicus,1,0
Organic toxins,0,5
Oryzias melastigma,0,2
Oscillatoria sp.,0,0
Osilinus turbinatus,0,0
Osmundea pelagosae,0,0
Ostorhinchus cyanosoma,0,0
Ostorhinchus doederleini,0,0
Ostrea chilensis,0,1
Ostrea edulis,0,1
Ostrea lurida,0,2
Ostreobium sp.,0,0
Ostreococcus sp.,0,1
Ostreococcus tauri,1,0
Other,5,46
Other metabolic rates,19,57
Other studied parameter or process,6,85
Oxygen,1,15
Pachygrapsus crassipes,0,1
Pachygrapsus marmoratus,1,0
Pachyseris speciosa,0,1
Padina australis,0,0
Padina pavonica,2,1
Padina sp.,0,0
Pagurus bernhardus,0,0
Pagurus sp.,1,0
Pagurus tanneri,0,0
Palaemon elegans,0,1
Palaemon intermedius,0,1
Palaemon serenus,0,1
Palmaria palmata,0,1
Pandalus borealis,1,0
Panopea generosa,0,1
Panopeus herbstii,0,0
Panulirus interruptus,0,1
Paphia aurea,1,0
Paphia rhomboides,1,0
Paphia undulate,0,1
Parablennius laticlavius,0,1
Paracentrotus lividus,6,0
Paracyclopina nana,0,0
Paradexamine fissicauda,0,0
Parafavella sp.,0,0
Paralichthys dentatus,0,0
Paralichthys olivaceus,1,0
Paralithodes camtschaticus,0,1
Paralithodes platypus,0,1
Parazoanthus axinellae,0,0
Parorchis sp.,0,1
Parvicardium exiguum,1,0
Parvocalanus crassirostris,0,0
Patella caerulea,0,0
Patella rustica,0,0
Patella vulgata,0,0
Patinopecten yessoensis,0,1
Pavona cactus,1,0
Pecten maximus,1,1
Pelagos,97,200
Penaeus plebejus,1,2
Peneroplis pertusus,0,2
Peneroplis planatus,0,1
Peneroplis sp.,0,1
Pentapora fascialis,0,0
Peringia ulvae,1,0
Perna canaliculus,0,0
Perna perna,0,2
Perumytilus purpuratus,0,0
Petalonia sp.,0,0
Petrolisthes cinctipes,1,0
Petrosia ficiformis,1,0
Peyssonnelia crispata,0,0
Peyssonnelia dubyi,0,0
Peyssonnelia harveyana,0,0
Peyssonnelia inamoena,0,0
Peyssonnelia rosa-marina,0,0
Peyssonnelia sp.,0,1
Peyssonnelia squamaria,0,0
Phaedactylum tricornutum,0,0
Phaeocystis antarctica,3,1
Phaeocystis globosa,0,0
Phaeocystis pouchetii,0,1
Phaeodactylum tricornutum,1,4
Pherusella tubulosa,0,0
Philophthalmus sp.,0,1
Pholas dactylus,1,0
Phorbas ficticius,1,0
Phorbas fictitius,1,0
Phorbas tenacior,1,0
Phorcus sauciatus,0,0
Phyllacanthus imperialis,0,0
Phyllaplysia taylori,0,1
Phyllariopsis brevipes,0,0
Phyllophora crispa,0,0
Phymatolithon calcareum,0,0
Phymatolithon lusitanicum,0,2
Phytoplankton,41,59
Pileolina patelliformis,0,1
Pinna nobilis,0,0
Placopecten magellanicus,0,1
Planorbulina acervalis,0,1
Plantae,17,47
Platichthys flesus,1,0
Platygyra contorta,0,1
Platygyra daedalea,0,0
Platyhelminthes,0,1
Platynereis dumerilii,0,0
Plectonema terebrans,0,0
Plectropomus leopardus,0,0
Plesiastrea versipora,0,0
Pleurochrysis carterae,0,0
Pleurochrysis placolithoides,0,1
Plocamium angustum,0,0
Plocamium cartilagineum,0,0
Pneophyllum sp.,1,0
Pocillopora acuta,0,1
Pocillopora damicornis,4,7
Pocillopora eydouxi,0,1
Pocillopora meandrina,0,0
Pocillopora sp.,0,1
Pocillopora verrucosa,1,3
Polar,19,34
Polyophthalmus pictus,0,0
Polysiphonia elongella,0,0
Polysiphonia flocculosa,0,0
Polysiphonia fucoides,0,0
Polysiphonia subulifera,0,0
Pomacentrus amboinensis,0,3
Pomacentrus chrysurus,0,0
Pomacentrus moluccensis,0,1
Pomacentrus nagasakiensis,0,1
Pomacentrus wardi,0,0
Pomatoschistus pictus,0,1
Porella cervicornis,0,0
Porifera,1,1
Porifera unidentified,0,0
Porites annae,0,1
Porites astreoides,1,3
